nm1802024	M.K. Asante	1982
nm7626019	Domee Shi	1989
nm0146209	Darrell Catling	1909
nm0033276	Garnik Arazyan	1936
nm1215991	Mira Brtka	1930
nm3568020	Marcelo Antunez	1972
nm0756141	Duygu Sagiroglu	1932
nm0004591	John Fasano	1961
nm9550754	Zita Erffa	1986
nm4062509	Isabelle Prim	1984
nm0173122	Lourdes Reynolds	1965
nm0720411	Dale Resteghini	1968
nm3597365	I. Ahmed	1973
nm1458527	Pablo Fendrik	1973
nm0722581	Trevor D. Rhone	1940
nm0001472	Jet Li	1963
nm1210722	Ali Sajadi	1988
nm9767356	Jorge Porras	1982
nm0841201	Carl Henrik Svenstedt	1937
nm0765924	Paolo Sassanelli	1958
nm2330862	Michael Charron	1979
nm0300418	Clarisse Gabus	1949
nm1182497	Juan Manuel Soler Palavicini	1950
nm3146762	Baris Atay	1981
nm6522481	Kundan Sad	1990
nm0160280	Al Christie	1881
nm0087399	Mark Blandford	1942
nm0643401	Jerzy Oblamski	1937
nm0900238	Piero Vivarelli	1927
nm0905818	Bruce Wagner	1954
nm0813301	Cary Solomon	1958
nm1884576	Melis Birder	1971
nm0015168	Masayuki Akehi	1932
nm0324506	Curt Goetz	1888
nm0756476	Saifudin Saif	1922
nm2835958	Aleksander U. Serigstad	1985
nm0888186	Richard Van Vleet	1942
nm0478137	Siegfried Kühn	1935
nm0132108	Pierfrancesco Campanella	1965
nm0788860	Aribam Syam Sharma	1939
nm0957760	Wojciech Zóltowski	1947
nm0272749	Michel Fermaud	1921
nm0912817	Edward Warren	1856
nm0196924	Gustavo Dahl	1938
nm3535218	Matthew Merenda	1986
nm0462064	Takeshi Kobayashi	1959
nm0479351	André S. Labarthe	1931
nm0959916	Pierre Étaix	1928
nm3351155	Sergei Govorukhin	1961
nm0724109	Glenn Richards	1961
nm5268113	Sebastian Mihailescu	1983
nm1009775	Greg Marcks	1976
nm0042159	Jean Aurel	1925
nm0390435	Adam Holender	1937
nm0767339	Mark Savage	1962
nm0001994	Michael Caton-Jones	1957
nm1181159	Albert Espinosa	1974
nm1722079	Camille	1978
nm0794981	Roop K. Shorey	1914
nm1780014	Sascha Paladino	1976
nm1671981	Thomas Frydetzki	1963
nm0955454	Zeming Zhang	1951
nm1014471	Shantha Bloeman	1971
nm0022858	Mustafa Altioklar	1958
nm7153454	Acoryé White	1991
nm0675680	Hanns Anselm Perten	1917
nm0478042	Karl Köstlin	1886
nm1140699	Rabah Ameur-Zaïmeche	1966
nm1471017	Tim Ford	1978
nm2775992	Jesse Millward	1982
nm0099592	Roy Boulting	1913
nm0074930	Wolfgang Bergmann	1946
nm0201857	Ricardo Darín	1957
nm1982407	George Gittoes	1949
nm0044803	Jamie Babbit	1970
nm0301390	René Gainville	1931
nm0354666	Chaim Halachmi	1902
nm0787284	Monroe Shaff	1908
nm0273356	Marcela Fernández Violante	1941
nm1503559	Javier Rebollo	1969
nm0685156	Vahik Pirhamzei	1968
nm3572012	Andreas Koefoed	1979
nm3164038	Martin Samper	1976
nm0921438	Lars V. Werner	1921
nm5239791	Graham Abraham	1989
nm5031468	Yotta Kasai	1987
nm1880926	Alexis Morante	1978
nm0388562	Guenter Hoermann	1940
nm4304753	Christiane Schmidt	1978
nm0438680	Kazimierz Karabasz	1930
nm2948603	Erin Stegeman	1983
nm0190489	Vladimir Cruz	1965
nm3305006	Lucian Georgescu	1967
nm0046104	Frank Badgley	1893
nm3531329	Dokdin Kanyamarn	1924
nm0788234	John Patrick Shanley	1950
nm2175568	Sarah Remetch	1978
nm8033386	Yayu Lin	1990
nm0583654	Hallie Meyers-Shyer	1987
nm1976559	Dar Warison	1986
nm2165754	Igor Heitzmann	1971
nm0128629	Julio Cahero	1917
nm1180674	Ernest Ansorge	1925
nm1902761	Margaret Dickinson	1943
nm0943071	Chia-Chun Wu	1919
nm4796682	Melanie Jilg	1984
nm0502855	Leonida Leoncini	1940
nm4714225	Madli Lääne	1977
nm8725223	Sharisse Zeroonian	1995
nm0319241	John Gilling	1912
nm0912432	Chris Warner	1951
nm0424209	Ole John	1939
nm0000186	David Lynch	1946
nm0889405	Gregg Vanzo	1961
nm1697122	Jason Hewitt	1973
nm3652282	Johannes Schaff	1982
nm4020631	Joe Zappa	1988
nm0329574	Leslie Goodwins	1899
nm0002384	Samuel Vartek	1969
nm0101461	Kenneth Bowser	1951
nm4767134	Daiana Rosenfeld	1985
nm0237589	Holm Dressler	1949
